Service Request URL,Service Request,Status,Request Date,Description,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002490&type=new_cs180226204420&viewRole=,DPU000002490,Completed,"October 31, 2018 9:16 pm",Light bulb is out. street light is at entrance to alley next to 208 S Mulberry,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002489&type=new_cs180226204420&viewRole=,DPU000002489,Completed,"October 31, 2018 9:06 pm",Street light alternates off and on. It seems like it remains off more than on. Very periodic. The pole is numbered WA70 and also has a red triangle with the numbers 28026.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002488&type=new_cs180226204420&viewRole=,DPU000002488,In Progress,"October 31, 2018 8:30 pm",Just not working,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011238&type=new_cs180301154109&viewRole=,DPW000011238,Assigned,"October 31, 2018 6:24 pm",Pothole on Sheppard that keeps growing.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011234&type=new_cs180301154109&viewRole=,DPW000011234,Assigned,"October 31, 2018 5:03 pm",Road is washed away from erosion and rain. Extremely large sinkhole. Appears very dangerous. See Case #s 122603 and 123496.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011233&type=new_cs180301154109&viewRole=,DPW000011233,Assigned,"October 31, 2018 5:02 pm","Pothole in the left lane right before the intersection (I believe it is where I pinned, but close if not right there).",,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011232&type=new_cs180221194656&viewRole=,DPW000011232,Assigned,"October 31, 2018 4:54 pm",Pruning of tree on Grove and Clarke. Branch hanging over roof needs to be pruned back.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011231&type=new_cs180301154109&viewRole=,DPW000011231,Assigned,"October 31, 2018 4:51 pm",Bricks out of place causing tripping sidewalk located on 11th and Marshall St please investigate asap,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002487&type=new_cs180228155543&viewRole=,DPU000002487,Assigned,"October 31, 2018 4:46 pm",There is a sinkhole on the block of 2501 Redwood St. Constituent contact information is Vincent 2501 Redwood Ave.; 878-8023,vinscott88@gmail.com. DPU can follow up directly with him.,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011228&type=new_cs180301154109&viewRole=,DPW000011228,Assigned,"October 31, 2018 4:39 pm",resident is calling because there is a pot hole at this location. that needs to be fixed asap. they are doing road work in that area and he wants to know if those guys can come and fix it,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002486&type=new_cs180226204420&viewRole=,DPU000002486,In Progress,"October 31, 2018 4:24 pm",3 lights out near address,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011225&type=new_cs180221194656&viewRole=,DPW000011225,Assigned,"October 31, 2018 4:16 pm",There are large rotten limbs on the two trees in front of my house . Limbs have been falling but it is a matter of time that the large limbs fall on a car or a person.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011222&type=new_cs180301154109&viewRole=,DPW000011222,Assigned,"October 31, 2018 3:55 pm",pot hole located at the sw corner of forest hill and jahnke rd,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011220&type=new_cs180301154109&viewRole=,DPW000011220,Assigned,"October 31, 2018 3:55 pm",There are 1 Large pothole and several smalls potholes please investigate asap. A1B1,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011219&type=new_cs180220201343&viewRole=,DPW000011219,Assigned,"October 31, 2018 3:53 pm",Caller requests a ramp at the corner of Monstrose and Walton.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011218&type=new_cs180301154109&viewRole=,DPW000011218,Assigned,"October 31, 2018 3:52 pm","Potholes 2, curbing issue, trash at vacant house",,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=RPD000000385&type=new_cs180327173138&viewRole=,RPD000000385,In Progress,"October 31, 2018 3:52 pm","The Swansboro Neighborhood as recently been vandalized with new tags. RRHA's Stovall Place sign was tagged and several retaining walls. ""55"" has been fairly inactive. Maybe someone who has been released??",,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011216&type=new_cs180221194656&viewRole=,DPW000011216,Assigned,"October 31, 2018 3:40 pm","The tree In front of our house has a big branch that’s falling out. This poses a safety hazard. Please remove as soon as you can. Thank you, Sara Silk. 4507 Cutshaw Ave. cell phone 917-570-6773",,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011214&type=new_cs180301154109&viewRole=,DPW000011214,Assigned,"October 31, 2018 3:16 pm",Pothole Bunting at Patterson,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011213&type=new_cs180301154109&viewRole=,DPW000011213,Assigned,"October 31, 2018 3:11 pm","Caller (VDOT) wants to report a pot hole on Chippenham Pkwy, heading north as you approach the exit for Forest Hill East.",,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002485&type=new_cs180228212904&viewRole=,DPU000002485,Assigned,"October 31, 2018 3:04 pm",the basin has sunk and the sidewalk has sunk,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000002484&type=new_cs180221191708&viewRole=,DPU000002484,Assigned,"October 31, 2018 3:00 pm",This is only a test for a new streetlight at 2225 E. Main Street.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011209&type=new_cs180221194032&viewRole=,DPW000011209,Assigned,"October 31, 2018 2:45 pm",Several missing cobblestones thus creating a huge hole in the alley to the right of the restaurant.,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000011208&type=new_cs180301154109&viewRole=,DPW000011208,Assigned,"October 31, 2018 2:26 pm","Please fix the two 1 foot deep potholes, one in each lane of Chippenham Northbound at the first Forest Hill Exit heading back into town. They are very deep and are growing. They will cause a flat tire or an accident and have been there for over 3 months!",,,,
