Service Request URL,Service Request,Status,Request Date,Description,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000000351&type=new_cs180226204420&viewRole=,DPU000000351,Completed,"June 30, 2018 10:34 pm",Several lights out on one side of the street,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001751&type=new_cs180221194656&viewRole=,DPW000001751,Assigned,"June 30, 2018 5:02 pm",Large tree limb down and partially blocking the alley that runs between Sylvan and King William Road closest to the Boulevard,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000000350&type=new_cs180226204420&viewRole=,DPU000000350,In Progress,"June 30, 2018 4:59 pm",New mantle for gas light needed,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001750&type=new_cs180221192758&viewRole=,DPW000001750,Completed,"June 30, 2018 4:25 pm","Missed trash, stacking up in the back",,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001749&type=new_cs180221192758&viewRole=,DPW000001749,Assigned,"June 30, 2018 2:25 pm",Bulk Trash pick up from tenant move out.,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001748&type=new_cs180221192758&viewRole=,DPW000001748,Completed,"June 30, 2018 1:32 pm",Rolled natural fiber rug; metal headboard and footboard,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001747&type=new_cs180221192758&viewRole=,DPW000001747,Completed,"June 30, 2018 12:55 pm",Lots of brush in the alley of stanhope,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001746&type=new_cs180221192758&viewRole=,DPW000001746,Assigned,"June 30, 2018 12:23 pm","Today is Saturday June 30, and there are trash cans in the public right away after the Wednesday collection day. The location is Hancock St, 1300 Block of Leigh St, Harrison St. The correct address is 1311 W. Leigh Street This is an ongoing PROBLEM in Carver and the streets with largest number of offenders are 1400 Block of W Clay on the north-side of the street, 1200 Block of W Clay on the north-side of the street, Hancock Street, 1100 Block of W Catherine St on the south-side of the street and Harrison Street in the 700 Block",,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000000349&type=new_cs180228212504&viewRole=,DPU000000349,Assigned,"June 30, 2018 11:48 am",Clogged storm drain on 1st Avenue next to the cemetery and traffic circle,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001745&type=new_cs180221194656&viewRole=,DPW000001745,Assigned,"June 30, 2018 11:18 am",Tree needs to be inspected and or trimmed. Limbs have been falling from this tree for months and a car was struck a few weeks ago. First reported through See Click Fix ID# 282366.,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001744&type=new_cs180221194656&viewRole=,DPW000001744,Assigned,"June 30, 2018 10:43 am",Tree branches need to be trimmed as they are starting to rub on my roof and the shade is killing my front lawn and landscaping,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001743&type=new_cs180221194032&viewRole=,DPW000001743,Assigned,"June 30, 2018 10:41 am",Multiple potholes in alley,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001742&type=new_cs180301154109&viewRole=,DPW000001742,Completed,"June 30, 2018 10:40 am",Large pothole,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001741&type=new_cs180301154109&viewRole=,DPW000001741,Completed,"June 29, 2018 10:46 pm",Several pot holes up and down Rawlings St at 1910 and 1923 Rawlings,,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPU000000348&type=new_cs180301145759&viewRole=,DPU000000348,Assigned,"June 29, 2018 7:22 pm",Admin Test (Ignore),,,,,
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=DPW000001740&type=new_cs180221194423&viewRole=,DPW000001740,Completed,"June 29, 2018 6:49 pm",No parking signs are badly positioned at Cary and Addison and have not been updated to reflect the new bus stop.,,,,,
